ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
UDJ,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
UDL,UPCOM,2799,Chất thải & Môi trường,2020-01-01,,True,,,
UEM,UPCOM,2757,Máy công nghiệp,2020-01-01,,True,,,
UMC,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
UPC,UPCOM,7575,Tiện ích khác,2020-01-01,,True,,,
UPH,UPCOM,4577,Dược phẩm,2020-01-01,,True,,,
UPS,UPCOM,8777,Môi giới chứng khoán,2020-01-01,,True,,,
USC,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
USD,UPCOM,2799,Chất thải & Môi trường,2020-01-01,,True,,,
UTT,UPCOM,2799,Chất thải & Môi trường,2020-01-01,,True,,,
UXC,UPCOM,3573,Nuôi trồng nông & hải sản,2020-01-01,,True,,,
VAV,UPCOM,7577,Nước,2020-01-01,,True,,,
VBB,UPCOM,8355,Ngân hàng,2020-01-01,,True,,,
VBG,UPCOM,1775,Khai khoáng,2020-01-01,,True,,,
VBH,UPCOM,2733,Hàng điện & điện tử,2020-01-01,,True,,,
VBT,UPCOM,2779,Dịch vụ vận tải,2020-01-01,,True,,,
VCE,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VCP,UPCOM,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
VCR,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VCT,UPCOM,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
VCX,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VDB,UPCOM,1771,Khai thác Than,2020-01-01,,True,,,
VDG,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
VDN,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
VDT,UPCOM,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
VE2,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VE8,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VE9,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VEA,UPCOM,2757,Máy công nghiệp,2020-01-01,,True,,,
VEC,UPCOM,9572,Phần cứng,2020-01-01,,True,,,
VEF,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VES,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VET,UPCOM,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
VFC,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
VFR,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
VGG,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
VGI,UPCOM,6575,Viễn thông di động,2020-01-01,,True,,,
VGL,UPCOM,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
VGR,UPCOM,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
VGT,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
VGV,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VHD,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VHF,UPCOM,3577,Thực phẩm,2020-01-01,,True,,,
VHG,UPCOM,2727,Công nghiệp phức hợp,2020-01-01,,True,,,
VHH,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VIE,UPCOM,9578,Thiết bị viễn thông,2020-01-01,,True,,,
VIM,UPCOM,1775,Khai khoáng,2020-01-01,,True,,,
VIN,UPCOM,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
VIR,UPCOM,5753,Khách sạn,2020-01-01,,True,,,
VIW,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VKC,UPCOM,3357,Lốp xe,2020-01-01,,True,,,
VKP,UPCOM,1353,"Nhựa, cao su & sợi",2020-01-01,,True,,,
VLB,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VLC,UPCOM,3573,Nuôi trồng nông & hải sản,2020-01-01,,True,,,
VLG,UPCOM,2779,Dịch vụ vận tải,2020-01-01,,True,,,
VLP,UPCOM,2799,Chất thải & Môi trường,2020-01-01,,True,,,
VLS,UPCOM,1757,Thép và sản phẩm thép,2020-01-01,,True,,,
VLW,UPCOM,7577,Nước,2020-01-01,,True,,,
