ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
PMB,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
PMC,HNX,4577,Dược phẩm,2020-01-01,,True,,,
PMP,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
PMS,HNX,2757,Máy công nghiệp,2020-01-01,,True,,,
POT,HNX,9572,Phần cứng,2020-01-01,,True,,,
PPE,HNX,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
PPP,HNX,4577,Dược phẩm,2020-01-01,,True,,,
PPS,HNX,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
PPT,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
PPY,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
